conversation_id,title,topic,topic_score
6a702319-f698-83e8-ada9-cdaa81522ecb,Marketing Metrics Overview,Business / Marketing,8
6a7056e8-7e10-83ee-a664-3742f784348c,E-Commerce Analytics Project,Data Analytics,22
6a70597f-91f0-83e8-93ea-aa5c3f5e4247,Power Query Overview,Business / Marketing,64
6a70954d-40d8-83e8-82ea-f918f99a0a08,Data Dashboard Setup Guide,Data Analytics,22
6a7095d1-bdd0-83e8-ab44-9304173d5ebb,AI Agent for Data Analytics,Data Analytics,13
6a7172c1-77d8-83ee-866a-2ca572a325a9,Govt. Institutions Data Research,Learning / Education,24
6a718192-a0d4-83e8-b7e6-a8a68c49cc66,Client Dashboard Continuation,Data Analytics,12
6a719902-8714-83ee-8278-f0d8d2196351,they,Data Analytics,675
6a71f919-5c9c-83ee-b6de-3c475f732c5a,Government Institutions Research,Learning / Education,97
6a7303aa-d728-83e8-87d4-d89b62a7c71b,Government Schools Tamil Nadu,Learning / Education,467
6a733074-d660-83ee-ad25-87714dcbe85f,Excel Infrastructure Summary,Programming / Development,649
6a741019-e060-83e8-a8fd-9e70dc02efff,Tamil Nadu Infrastructure Data,Learning / Education,23
6a742b84-0ae0-83e8-bf02-a0334cb6c602,Reel Performance Response,Data Analytics,2
6a756dbd-23a4-83e8-a035-33717bc5f771,KYS Scraper Update,Programming / Development,1656
6a75a66e-abe4-83e8-860c-c139b215c2a6,KYS Scraper Continuation,Programming / Development,1440
6a75c38c-2124-83e9-b71e-5898519a12c0,Scraper.py Generation Request,Programming / Development,1167
6a797250-8634-83ee-91c1-751638889fad,Reference Sheet Creation,Other,0
6a7ac8c8-8f1c-83ee-803a-5169fd78be8c,Product Marketing Analysis,Business / Marketing,26
6a7b0ee8-2acc-83e9-8ada-2171a01cb1e8,New Task Assistance,Career / Jobs,10
6a7b2f99-9858-83ee-9be2-789c0f92b01b,LinkedIn Profile Review,AI / Machine Learning,10
6a7b4e77-8e18-83e8-b75a-be607822980e,Palm Reading Guide Design,Learning / Education,4
6a7c0fcf-97d0-83ee-ab26-3d0b2ce88746,Personal Branding Strategy,Business / Marketing,456
6a7c4b2b-0f70-83e8-b073-7626cb531293,GitHub Next Steps,Programming / Development,28
6a7d57b7-43e4-83ee-afff-168ebc855e75,Polished PDF Creation,Other,0
6a7d5ad6-95f4-83e8-977d-3db3e401330d,Clean Structured PDF,Other,0
6a7d6117-111c-83ee-b417-88c2986b7667,Graph format request,Career / Jobs,29
6a7d7562-6aa0-83e8-8280-989896426c88,Page Alignment Correction,Productivity / Planning,2
6a7d88d6-6ca0-83ea-9c38-02677ccac7d2,UI Rendering Issue,Other,0
6a7d91cf-79fc-83ea-9f2c-84e65258521c,Morning Study Reminder,Productivity / Planning,69
6a7d968b-12ec-83ea-b66f-9685c41ceb82,Notion usage assistance,Data Analytics,38
6a7dacd2-83bc-83ea-9ee3-cdc8d655bf66,Notion Workspace Integration,Content / Personal Branding,2
6a7db5c9-bb9c-83e8-ab90-a55b7d8b6af1,Weekend Long Read,Business / Marketing,10
6a7e9f59-9c9c-83e9-963f-04df84b6c31b,AI DATA ANALYST,Data Analytics,6077
6a800557-bf94-83ee-952d-faa1bd8d7ba4,AI Video Workflow,Content / Personal Branding,12
6a828f77-1e78-83e8-9059-90750a626f67,Product /market analysis,Business / Marketing,283
6a82e4ef-0e1c-83ee-8781-3771db05455f,AI for Content Personalization,Content / Personal Branding,2
6a83e4a4-8f40-83ee-b0ae-cacbda9d0bd2,Review Python Project Files,Data Analytics,349
6a859039-b044-83ee-ae5f-77040bbc31ca,Frangipani Perfume Recommendations,AI / Machine Learning,5
6a869228-cd08-83e8-b058-78461a78c488,Morning Greeting,AI / Machine Learning,60
6a87d6c2-033c-83e9-a8b3-04e5240f34b8,Morning Greeting,Productivity / Planning,7
6a87ebfc-4144-83e8-8e04-ea7e88aa9ff4,Spotify Wrapped Clone Proposal,Data Analytics,8
6a8825dc-80f8-83e8-96f0-1c198279f413,Get export data,Programming / Development,4
