conversation_id,title,topic,score,second_topic,second_score,confidence
6986c944-0e9c-8322-b51b-1ec7e9e74d87,DSA Concepts Explained Simply,Learning / Education,18,Content / Personal Branding,2,90.0
6986cf21-b210-8321-9156-dd4226dc3931,Resume Bullet Points,Data Analytics,11,Career / Jobs,6,57.89
69870497-a1c8-8322-9fc0-1e1d10e49672,Murder Mystery Challenge,Other,1,Productivity / Planning,1,0.0
6987326d-d1d4-8324-afef-550972b9f8c1,Book Cover Design,Content / Personal Branding,6,AI / Machine Learning,0,100.0
698734c0-b4a0-83a8-95da-0a8f0cabe0cb,Poster Design Request,Content / Personal Branding,13,AI / Machine Learning,0,100.0
69873ae6-5f80-8320-897a-2aaf61e04a48,Branch · Poster Design Request,Content / Personal Branding,13,AI / Machine Learning,0,100.0
698ac077-04e8-8323-9a3a-d29bbb8f143c,Java Syntax Overview,Programming / Development,9,AI / Machine Learning,0,100.0
6994131e-01dc-8320-8782-904a117dc679,Small Business Ideas,Business / Marketing,6,Learning / Education,4,54.55
69a16d15-5370-8321-947c-811fe092557f,Streamlit Web App in Colab,Programming / Development,22,AI / Machine Learning,0,100.0
69a5b009-bf40-8320-9c11-cba7367841c2,Running Python in Colab,Programming / Development,46,AI / Machine Learning,0,100.0
69a5ce7f-a500-8321-ba62-616fcd1ce4b8,Whisper Module Error Fix,AI / Machine Learning,18,Programming / Development,14,56.25
69a5ceec-7258-8323-a75a-52ef689131a5,Whisper Module Installation,AI / Machine Learning,18,Programming / Development,8,69.23
69a5d0e4-7c10-8324-afa9-ed17bccb995d,ModuleNotFoundError Fix,Programming / Development,59,AI / Machine Learning,17,76.62
69a92b47-95b0-8324-b174-307ee4b212d6,Secondary Subject Area Suggestions,Other,0,Data Analytics,0,0.0
69ad3297-36ac-8321-acb7-a84427323898,Troubleshooting for Service Desk,Other,2,AI / Machine Learning,0,0.0
69ad45a7-0dc4-8322-8bfe-262516c4a230,Change Registered Owner Name,Other,0,Data Analytics,0,0.0
69aee890-840c-8323-b595-4f127ad7ebf8,Self Introduction Project Explanation,Productivity / Planning,5,AI / Machine Learning,0,100.0
69aee8be-4310-8324-b710-2a352c5c1db4,What is an OS,Other,0,Data Analytics,0,0.0
69aeea3b-edb4-8322-9c05-ddd20f892069,IT Support Concepts,Learning / Education,5,AI / Machine Learning,0,100.0
69b16696-74a4-8321-b7ea-4c9787952a2a,Resume Improvement Tips,Career / Jobs,23,AI / Machine Learning,10,46.94
69b16ad9-6774-8321-a216-039e8155afc7,Change Canva Template Fast,Other,1,AI / Machine Learning,0,0.0
69b170b0-9c7c-8323-ae91-7bc7b2516071,GitHub in Resume,Programming / Development,12,Career / Jobs,7,63.16
69b2c1de-426c-83a6-b761-50964dcf5038,Adobe Express Premium Ideas,Other,0,Data Analytics,0,0.0
69b2c497-30a0-8321-be80-82b0aa94b1cd,Anonymous Page Ideas,Other,0,Data Analytics,0,0.0
69b81c44-6800-8323-b2a9-f3c864b538d3,Google Scholar IEEE Scopus,Other,1,AI / Machine Learning,0,0.0
69b91478-2618-8322-af95-7b1dc95cc7cb,Notice Period Explanation,Career / Jobs,10,Productivity / Planning,5,66.67
69c211a7-bfe0-83a8-b42e-d20ee7500371,Find Accepted Paper ID,Other,0,Data Analytics,0,0.0
69c68d2c-0dc0-83e8-8766-6f274220cf63,Tech Support Resume Tips,Data Analytics,30,Programming / Development,30,32.97
69ca811d-03b4-83e8-a63e-87c49e4542a8,Instruction clarification request,Programming / Development,37,AI / Machine Learning,15,62.71
69cf2534-6e9c-83e8-b71c-cf1433242240,Co-author Details Formatting,Other,1,Content / Personal Branding,1,0.0
69cf3106-cc00-83e8-bc39-75ef121cb8a1,PPT Content Creation,Content / Personal Branding,6,AI / Machine Learning,0,100.0
69d0be95-2d9c-83e8-a7e9-47b88cc29b23,Life Path Analysis,Other,0,Data Analytics,0,0.0
69d659ab-1f58-83e8-b99d-4c07ca6cd662,Winget FFmpeg Installation Help,Programming / Development,121,AI / Machine Learning,55,62.05
69d672d4-53cc-83e8-8322-f7b5a4c4755e,WAV Clarification Request,Other,1,AI / Machine Learning,0,0.0
69d67955-2d04-83e8-8f3e-5ec1782db5ac,Project Final Review Prep,Other,1,AI / Machine Learning,0,0.0
69d702eb-1f50-8322-b508-009ce4327769,ML Classifier Explanation,AI / Machine Learning,29,Programming / Development,5,70.73
69d72e2c-9370-8324-91f8-669c59d2241f,Intellectual Disability Overview,Data Analytics,5,AI / Machine Learning,0,100.0
69d7e042-87c0-83e8-9dd5-de2f4d363bc5,Video Clarity Improvement,Content / Personal Branding,7,AI / Machine Learning,0,100.0
69d89589-9380-83e8-93c4-d49f74901546,Graduation with Paws,Other,1,AI / Machine Learning,0,0.0
69d9cb50-ae54-83e8-833c-eeb705f61651,Worth Buying Verdict,Other,0,Data Analytics,0,0.0
69d9d13a-5150-83e8-8e72-446d6f916ebb,Tablet options under ₹2000,Other,0,Data Analytics,0,0.0
69da618c-bf04-83e8-9333-eb8786362bdb,Instagram Login Check,Content / Personal Branding,6,AI / Machine Learning,0,100.0
69db064e-cac0-83e8-ac8a-bf41efd9da33,4x6 Photo Poster Printing,Content / Personal Branding,9,AI / Machine Learning,0,100.0
69dc7801-20e0-83e8-8bd9-a29beef51e21,Best tablet under ₹5000,Other,0,Data Analytics,0,0.0
69dddef8-7228-83e8-9166-a726602a72b9,Echo Show 5 Review,Other,1,AI / Machine Learning,0,0.0
69de04fa-4cbc-83e8-ba17-ba2e1e84b9cb,4x6 Poster Placement Tips,Content / Personal Branding,9,Career / Jobs,6,60.0
69de299a-59dc-83e8-abec-b911bb9c5000,Study Photography Basics,Learning / Education,8,Content / Personal Branding,7,50.0
69de2c0f-45cc-83e8-b938-f47872e3111a,Weight Loss Plan,Productivity / Planning,9,Content / Personal Branding,1,90.0
69df52d5-823c-83e8-9323-5b4db6182e2d,Job Posting Assistance,Data Analytics,12,Career / Jobs,6,63.16
69e0f51f-bda8-83e8-9005-0743ac3b6d6a,Shy Romantic Song Captions,Content / Personal Branding,7,AI / Machine Learning,0,100.0
69e225b2-0fc8-83e8-9b04-629c8b58780a,Find Jio Number,Other,0,Data Analytics,0,0.0
69e22cde-2304-83e8-ab5a-256f4f580697,Jio SIM in Tablet,Other,0,Data Analytics,0,0.0
69e2309f-14a8-83e8-a22c-689ae5498c2b,Jio SIM Activation Issues,Other,0,Data Analytics,0,0.0
69e23552-4fdc-83e8-8eb1-6e2889c4c55f,Redmi Pad 2 Details,Other,0,Data Analytics,0,0.0
69e3063e-4ba0-83e8-b835-3f010c8e35ea,Central Government Jobs Guide,Career / Jobs,12,Learning / Education,3,80.0
69e309da-f7cc-83e8-bd9f-928e64524f14,Stenographer Role and Exams,Learning / Education,9,Career / Jobs,1,81.82
69e313ba-0ee4-83e8-a3ad-471b333d52d5,SSC Phase-XIV Exam Details,Learning / Education,12,AI / Machine Learning,0,100.0
69e480e6-ca10-83e8-96e4-3d7e83f44ab8,Chocolate Milkshake Recipe,Other,0,Data Analytics,0,0.0
69e87366-bf48-83e8-8167-18fcb8487c08,Nighttime Flash Photography,Content / Personal Branding,7,AI / Machine Learning,0,100.0
69e873e3-68d8-83e8-a308-373c022495b6,Email Response to Complaint,Other,0,Data Analytics,0,0.0
69e876f9-600c-83e8-be66-0ad9c635624f,Poster Display Ideas,Content / Personal Branding,8,AI / Machine Learning,0,100.0
69e9917d-01bc-83e8-b823-b7a978223e11,Voting Caption Ideas,Content / Personal Branding,6,AI / Machine Learning,0,100.0
69eb0f0b-1234-83e8-b794-26acff131e68,Caption suggestions for post,Content / Personal Branding,7,AI / Machine Learning,0,100.0
69eeebb4-e284-83e8-b873-35f00a029a3b,Resume Project Entry,AI / Machine Learning,53,Programming / Development,13,66.25
69f03d1a-c9ac-83e8-955d-e61f258ef5df,AI&DS Application Follow-up,Career / Jobs,7,AI / Machine Learning,0,100.0
69f041a0-c874-83e8-bf31-1d7dd7bcb59a,SSC CGL Prep Guide,Learning / Education,19,Career / Jobs,1,90.48
69f1fae5-f140-83e8-9e07-b495a2a1ba39,Image Generation Prompt,Other,0,Data Analytics,0,0.0
69f1fb4c-d1c0-83e8-b092-0ce59c436844,AI Image Prompt Creation,Other,1,AI / Machine Learning,0,0.0
69f5668c-3248-83e8-b50c-81dd3d48c7f5,Skin Glow Routine,Productivity / Planning,9,AI / Machine Learning,0,100.0
69f569e3-29ec-83e8-8c4a-fbcf0f352d26,Personalized Daily Plan,Productivity / Planning,14,Content / Personal Branding,3,82.35
69f58a63-711c-83e8-a40b-9abefb997ec8,Sock size guide,Other,0,Data Analytics,0,0.0
69f72315-0fa8-83e8-ad93-bf2d4044d57b,Track Steps and Cycling,Other,0,Data Analytics,0,0.0
69f826d5-7434-83e8-9ddd-f9a45b5aa4f4,Using Fresh Mehndi Leaves,Other,0,Data Analytics,0,0.0
69f987c6-faec-83e8-9880-8c62fe949f17,Phone Comparison Advice,Other,0,Data Analytics,0,0.0
69f9e809-1764-83e8-a688-157a1bdcff20,Photography Beginner Tips,Content / Personal Branding,7,Learning / Education,2,70.0
69f9ecd0-e510-83e8-b564-3f7f5e11b345,Faceless Content Ideas,Content / Personal Branding,17,AI / Machine Learning,0,100.0
69fb3b21-c6d0-83e8-8d44-79363b252ef9,Caption Suggestions,Content / Personal Branding,7,AI / Machine Learning,0,100.0
69fec9e5-7e10-83e9-86a1-b07cc814cb65,Hotspot Data Consumption Issues,Other,0,Data Analytics,0,0.0
69ffec63-2b88-83ec-b178-c6e8d4437548,Short Hair Captions,Content / Personal Branding,6,AI / Machine Learning,0,100.0
6a015e84-5f6c-83e9-8c42-51c8c54dd5a8,Commerce with Business Maths Degrees,Business / Marketing,12,Learning / Education,4,60.0
6a0412d4-e994-83e9-9f38-19b2eb5bc650,Content Creator Bio Ideas,Content / Personal Branding,56,Data Analytics,5,91.8
6a042726-1eb0-83e9-9d87-541b0bc2986a,Insert button battery,Other,0,Data Analytics,0,0.0
6a044766-5808-83e9-ad71-c195c8c7bae6,Legit Online Typing Jobs,Career / Jobs,13,Programming / Development,5,72.22
6a05c9c9-57c0-83e8-99d4-7c66aa9232c5,Best camera multitasking phone,Other,0,Data Analytics,0,0.0
6a06abfb-bcd0-83e8-a27d-93851695fe18,CECC Acronym Meaning,Other,2,AI / Machine Learning,0,0.0
6a07ed91-9908-83e8-9157-4637971dd1e0,Best Camera Mobiles 2026,Data Analytics,5,AI / Machine Learning,0,100.0
6a09490e-6694-83ec-b908-6eb6b34ad665,Infosys Test Error Fix,Programming / Development,8,Career / Jobs,7,53.33
6a094d1b-ed18-83e8-b2a9-50eeab723a58,Python meeting scheduler,Programming / Development,11,Productivity / Planning,5,68.75
6a0a6d18-b1d8-83ec-9931-c88004a574ee,Samsung 4C Error Fix,Programming / Development,6,AI / Machine Learning,0,100.0
6a0c7111-9ed8-83ec-a0b0-569c3594fe8a,Language Learning for Growth,Learning / Education,12,Business / Marketing,6,60.0
6a0c7c10-ddc4-83ec-b96b-e56ad6682f0f,TCS NQT Test Prep,Career / Jobs,14,Programming / Development,2,82.35
6a0fdf4d-60fc-83e8-94ce-1a9c0746d649,Double-Sided Card Canva,Other,2,AI / Machine Learning,0,0.0
6a143e70-4208-8322-bb6e-a9e9aa8a281c,Black Screen After Login,Other,0,Data Analytics,0,0.0
6a147e27-419c-8323-a91a-ff755df4b5d0,Night Photography Tips,Content / Personal Branding,6,AI / Machine Learning,0,100.0
6a153ac8-f66c-8323-a886-e6c83e5ad359,Free Digital Marketing Courses,Business / Marketing,19,Programming / Development,5,65.52
6a17d638-bf18-8323-85a3-dc7cae7e5c2f,Nexellence RPO Overview,Other,2,AI / Machine Learning,0,0.0
6a17da65-e764-83a9-8fe7-30d0d39c6f5e,AI/ML Experience Guidance,Other,0,Data Analytics,0,0.0
6a1d2a85-a92c-8320-83da-f187626a9b08,Eye Scratch and Dark Circles,Other,0,Data Analytics,0,0.0
6a207d63-e3e8-8323-94e2-d1abb5e59e01,Redmi 10 IR Issue,Other,0,Data Analytics,0,0.0
6a212f26-b70c-8323-92e8-ab53bf5f7823,Fresher Developer Role Chennai,Career / Jobs,12,Programming / Development,1,85.71
6a22d6a2-62bc-8322-856b-43499321ce00,Parametric Line Equation,Data Analytics,5,Learning / Education,1,83.33
6a22db2e-1e48-8321-adab-52117d3d6df6,Signature in SSC Format,Learning / Education,6,AI / Machine Learning,0,100.0
6a22debc-6240-8322-a3ef-1d9af5ea0e13,CGPA to Percentage Conversion,Other,0,Data Analytics,0,0.0
6a23f1d0-44e0-8324-8816-013e7da3d213,Ice for Skin and Weight,Other,1,AI / Machine Learning,0,0.0
6a2565db-81d4-8324-b54e-6505c43c76b6,Poster Arrangement Tips,Content / Personal Branding,9,AI / Machine Learning,0,100.0
6a26c426-c13c-8324-958f-d71ea247d05e,Teaching Basics for Weak Students,Learning / Education,20,Programming / Development,1,95.24
6a28f6bb-0848-8321-aec9-0f0bb79812b9,Teaching After Alphabets,Learning / Education,13,AI / Machine Learning,0,100.0
6a2a3ace-ce94-8323-8b16-63ae175043d5,Vowel Fill-in Questions,Other,0,Data Analytics,0,0.0
6a2fd8d1-1404-83ee-b614-3b80049be30b,Homework Reminder Template,Productivity / Planning,6,AI / Machine Learning,0,100.0
6a33c59f-c138-83e8-8531-ac6a30671731,School Uniform Notice,Learning / Education,8,AI / Machine Learning,0,100.0
6a361347-99ac-83ee-a917-6c999b10ba90,LinkedIn Profile Review,Career / Jobs,12,Learning / Education,1,92.31
6a363311-66f4-83ee-bcf4-9cf0d8a40101,NATS 2.0 Registration Guide,Career / Jobs,5,AI / Machine Learning,0,100.0
6a4270d7-7188-83ee-a4fc-e50c55ecb2f6,Buyer Persona Example,Business / Marketing,7,Learning / Education,5,53.85
6a4290ed-970c-83e8-b959-6c53f0db45f1,No Response Follow-up Guide,Other,0,Data Analytics,0,0.0
6a4915bd-8c50-83ee-8808-a7081c053e75,Resume Editing Request,Career / Jobs,8,AI / Machine Learning,0,100.0
6a491bcd-c7e8-83e8-b2ce-f0e62d891f65,Alignment Verification Tips,Other,0,Data Analytics,0,0.0
6a4fc6d0-f8e0-83ee-9eb5-cbc934f5bf68,Reg future plans,Content / Personal Branding,5,Productivity / Planning,5,50.0
6a54709e-654c-83e8-9353-4b4b0b7b341c,Kamarajar Speech Ideas,Other,0,Data Analytics,0,0.0
6a5788f9-aaa0-83ee-b1b4-d8706e87148e,Introduce Yourself Response,Other,1,AI / Machine Learning,0,0.0
6a58d6fa-3e58-83e8-9f88-07fd19d210d2,IINVSYS Interview Preparation,Career / Jobs,7,AI / Machine Learning,0,100.0
6a58d7e6-aed8-83ee-bd59-46d8915e59cf,Interview Project Explanation,Programming / Development,11,Career / Jobs,7,47.83
6a58f719-2128-83ee-8060-e056fdc3edba,Python Interview Guide,Programming / Development,12,Career / Jobs,6,63.16
6a599c02-a8e0-83ee-868f-021d5e41ad01,Interview Project Explanation,Programming / Development,14,Data Analytics,11,37.84
6a5a24e4-07ec-83ee-bf41-34c63c88765f,Data Analysis Process,Data Analytics,18,Career / Jobs,1,90.0
6a5a2660-a458-83ee-adaf-3d3e16f8a86f,Market Analysis Overview,Business / Marketing,14,Content / Personal Branding,1,93.33
6a5a2828-fe14-83e8-a7d5-291b379f129a,Instagram Comment-to-DM Automation,Content / Personal Branding,7,AI / Machine Learning,0,100.0
6a5a2849-a8e8-83e8-89fd-eceaca26fa9b,Digital Marketing Analytics Process,Data Analytics,33,Business / Marketing,20,55.93
6a5b1c3b-a700-83ee-850b-7334bf3e2813,Tech for Data Analysis,Data Analytics,16,Learning / Education,1,94.12
6a5b24ed-90b8-83ee-b521-52742f25d31d,Create Claude Desktop Shortcut,Other,0,Data Analytics,0,0.0
6a5b2b3a-0430-83ee-90cf-c5d45a8d5d2a,AB Testing Analysis,Data Analytics,7,Programming / Development,1,70.0
6a5b7c13-0934-83ee-b9dd-caa13b9a8b5f,Congratulations Message Draft,Other,0,Data Analytics,0,0.0
6a5e1463-4158-83e8-b482-69ee464d39f7,Understanding banger meaning,Other,0,Data Analytics,0,0.0
6a5e1482-eb58-83ee-ad18-74026ba95e7c,Meaning of Mass,Other,0,Data Analytics,0,0.0
6a5efdde-ef60-83e8-a9ff-0e11d357e304,Math Fundamentals 5s 10s 100s,Learning / Education,9,Content / Personal Branding,2,81.82
6a5f00e9-043c-83e8-83ef-0fdfb317c313,Kuyili Independence Day Speech,Other,1,AI / Machine Learning,0,0.0
6a5f7190-18f4-83e8-9882-4c396763b73a,Using Claude for Data Analysis,Data Analytics,40,Business / Marketing,2,95.24
6a61da6b-fb28-83e8-a5d9-edfb0b877658,Teaching English Speaking,Learning / Education,13,AI / Machine Learning,0,100.0
6a62f1fc-746c-83ee-a47b-8a0896a5693d,Job Referral Request Message,Career / Jobs,8,AI / Machine Learning,0,100.0
6a631e6a-4180-83ee-9563-fb3555ec34c5,Job Offer Acceptance Email,Career / Jobs,14,AI / Machine Learning,0,100.0
6a646530-8a60-83ee-b9fe-a10563a241b9,Moto G Camera Quality,Other,1,AI / Machine Learning,0,0.0
6a64667d-0088-83ee-8d72-5afa806d48c1,Phone Slow Fix,Other,0,Data Analytics,0,0.0
6a649860-4dd8-83e8-b3dc-466e47b3c734,Royal Blue Personality,Other,0,Data Analytics,0,0.0
6a65fa9e-4d60-83e8-aab2-9c25f094f23b,Noise ALT Buds (S) Review,Other,0,Data Analytics,0,0.0
6a6891b1-55f8-83e8-be16-045ed848efc6,Online shopping price check,Other,0,Data Analytics,0,0.0
6a68b617-4324-83ee-9e61-bd170a171961,Freight Shipping Update,Other,0,Data Analytics,0,0.0
6a68b622-19e4-83ee-96ba-3ce896e0d1e8,Explain Request Clarification,Learning / Education,7,AI / Machine Learning,0,100.0
6a6c02d1-03d0-83ee-a320-3cc6202ca1f4,Grammar Correction Clarification,Other,0,Data Analytics,0,0.0
6a6ec93e-6ba8-83ee-9634-7a8ba432aac3,Greedy Solution for Rocks,Programming / Development,9,Career / Jobs,1,90.0
6a70224f-8540-83e8-b64c-2194133eceff,Digicherry Overview,Data Analytics,30,Learning / Education,1,96.77
6a702319-f698-83e8-ada9-cdaa81522ecb,Marketing Metrics Overview,Data Analytics,12,Business / Marketing,12,50.0
6a7056e8-7e10-83ee-a664-3742f784348c,E-Commerce Analytics Project,Data Analytics,41,Business / Marketing,7,83.67
6a70597f-91f0-83e8-93ea-aa5c3f5e4247,Power Query Overview,Data Analytics,45,Learning / Education,10,72.58
6a70954d-40d8-83e8-82ea-f918f99a0a08,Data Dashboard Setup Guide,Data Analytics,32,Content / Personal Branding,1,96.97
6a7095d1-bdd0-83e8-ab44-9304173d5ebb,AI Agent for Data Analytics,Data Analytics,34,AI / Machine Learning,17,66.67
6a7172c1-77d8-83ee-866a-2ca572a325a9,Govt. Institutions Data Research,Data Analytics,3,Programming / Development,3,42.86
6a718192-a0d4-83e8-b7e6-a8a68c49cc66,Client Dashboard Continuation,Data Analytics,20,Business / Marketing,1,95.24
6a719902-8714-83ee-8278-f0d8d2196351,they,Data Analytics,390,Content / Personal Branding,163,54.55
6a71f919-5c9c-83ee-b6de-3c475f732c5a,Government Institutions Research,Learning / Education,17,AI / Machine Learning,10,40.48
6a7303aa-d728-83e8-87d4-d89b62a7c71b,Government Schools Tamil Nadu,Learning / Education,111,Data Analytics,58,53.37
6a733074-d660-83ee-ad25-87714dcbe85f,Excel Infrastructure Summary,Programming / Development,75,Data Analytics,9,80.65
6a741019-e060-83e8-a8fd-9e70dc02efff,Tamil Nadu Infrastructure Data,Data Analytics,21,Learning / Education,9,65.62
6a742b84-0ae0-83e8-bf02-a0334cb6c602,Reel Performance Response,Data Analytics,11,Content / Personal Branding,8,52.38
6a756dbd-23a4-83e8-a035-33717bc5f771,KYS Scraper Update,Programming / Development,311,Learning / Education,311,45.94
6a75a66e-abe4-83e8-860c-c139b215c2a6,KYS Scraper Continuation,Programming / Development,308,Learning / Education,233,54.23
6a75c38c-2124-83e9-b71e-5898519a12c0,Scraper.py Generation Request,Programming / Development,255,Learning / Education,172,51.52
6a797250-8634-83ee-91c1-751638889fad,Reference Sheet Creation,Other,0,Data Analytics,0,0.0
6a7ac8c8-8f1c-83ee-803a-5169fd78be8c,Product Marketing Analysis,Business / Marketing,19,Learning / Education,2,90.48
6a7b0ee8-2acc-83e9-8ada-2171a01cb1e8,New Task Assistance,Business / Marketing,4,Career / Jobs,4,28.57
6a7b2f99-9858-83ee-9be2-789c0f92b01b,LinkedIn Profile Review,AI / Machine Learning,11,Career / Jobs,10,45.83
6a7b4e77-8e18-83e8-b75a-be607822980e,Palm Reading Guide Design,Content / Personal Branding,6,AI / Machine Learning,0,100.0
6a7c0fcf-97d0-83ee-ab26-3d0b2ce88746,Personal Branding Strategy,Business / Marketing,200,Content / Personal Branding,66,50.76
6a7c4b2b-0f70-83e8-b073-7626cb531293,GitHub Next Steps,Business / Marketing,17,Programming / Development,15,37.78
6a7d57b7-43e4-83ee-afff-168ebc855e75,Polished PDF Creation,Other,0,Data Analytics,0,0.0
6a7d5ad6-95f4-83e8-977d-3db3e401330d,Clean Structured PDF,Other,0,Data Analytics,0,0.0
6a7d6117-111c-83ee-b417-88c2986b7667,Graph format request,Business / Marketing,6,Career / Jobs,4,50.0
6a7d7562-6aa0-83e8-8280-989896426c88,Page Alignment Correction,Other,0,Data Analytics,0,0.0
6a7d88d6-6ca0-83ea-9c38-02677ccac7d2,UI Rendering Issue,Other,0,Data Analytics,0,0.0
6a7d91cf-79fc-83ea-9f2c-84e65258521c,Morning Study Reminder,Productivity / Planning,11,Learning / Education,7,57.89
6a7d968b-12ec-83ea-b66f-9685c41ceb82,Notion usage assistance,Data Analytics,29,Programming / Development,3,80.56
6a7dacd2-83bc-83ea-9ee3-cdc8d655bf66,Notion Workspace Integration,Other,1,AI / Machine Learning,0,0.0
